Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11
352885,S“o Jos⁄ do Rio Preto,20.96,13,28.93,19.07,15.76,22.39,0.36,0.3,0.41
352890,Presidente Prudente,42.21,32.59,51.82,39.23,34.14,44.32,0.38,0.33,0.44
352900,Mar›lia,18.77,13.95,23.58,14.77,13.38,16.17,0.43,0.41,0.45
352910,S“o Jos⁄ do Rio Preto,31.01,21.23,40.79,27.26,22.79,31.73,0.39,0.31,0.47
352920,Presidente Prudente,31.96,24.6,39.32,27.72,24.55,30.88,0.43,0.4,0.46
352930,Araraquara,21.94,15.55,28.32,17.04,15.11,18.97,0.41,0.39,0.43
352940,Metropolitana de S“o Paulo,46.61,38.46,54.76,18.51,16.56,20.46,0.37,0.36,0.39
352950,S“o Jos⁄ do Rio Preto,18.81,12.2,25.42,16.61,14.05,19.17,0.39,0.34,0.44
352960,S“o Jos⁄ do Rio Preto,25.35,18.04,32.67,23.53,20.34,26.73,0.38,0.34,0.42
352965,S“o Jos⁄ do Rio Preto,32.11,21.91,42.31,31.31,26.15,36.47,0.37,0.26,0.48
352970,Ribeir“o Preto,29.61,21.81,37.41,24.21,21.22,27.2,0.42,0.39,0.46
352980,Bauru,35.82,26.86,44.79,29.68,25.9,33.46,0.39,0.36,0.42
352990,Litoral Sul Paulista,41.08,35.15,47.01,42.53,38.35,46.71,0.43,0.4,0.47
353000,S“o Jos⁄ do Rio Preto,22.57,13.44,31.7,19.25,15.93,22.57,0.36,0.3,0.41
353010,Ara˛atuba,27.98,21.53,34.42,24.06,21.43,26.69,0.44,0.41,0.47
353020,Presidente Prudente,34.72,27.69,41.75,34.2,30.31,38.08,0.42,0.38,0.47
353030,S“o Jos⁄ do Rio Preto,16.96,10.87,23.04,12.81,11.17,14.45,0.44,0.41,0.47
353040,S“o Jos⁄ do Rio Preto,24.59,15.49,33.68,20.17,16.86,23.47,0.35,0.31,0.4
353050,Campinas,24.14,18.74,29.55,20.73,18.65,22.82,0.43,0.41,0.45
353060,Metropolitana de S“o Paulo,43.6,39.77,47.43,20.97,19.65,22.29,0.43,0.41,0.45
353070,Campinas,18.06,12.69,23.43,14.27,12.63,15.91,0.39,0.37,0.41
353080,Campinas,12.06,8.17,15.96,9.63,8.48,10.79,0.42,0.4,0.44
353090,Piracicaba,41.98,33.09,50.87,39.28,33.91,44.66,0.42,0.37,0.46
353100,S“o Jos⁄ do Rio Preto,22.95,13.94,31.96,18.82,15.76,21.88,0.34,0.29,0.38
353110,Litoral Sul Paulista,27.1,20.46,33.73,21.9,19.37,24.43,0.43,0.4,0.45
353120,Campinas,15.12,10.77,19.46,15.89,13.72,18.05,0.44,0.4,0.48
353130,Ribeir“o Preto,15.59,10.75,20.43,12.07,10.67,13.48,0.39,0.37,0.42
353140,S“o Jos⁄ do Rio Preto,13.89,9.01,18.77,11.09,9.79,12.4,0.43,0.4,0.46
353150,Ribeir“o Preto,31.43,23.76,39.09,26.81,23.66,29.96,0.45,0.42,0.48
353160,Presidente Prudente,33.21,24.44,41.99,30.22,25.88,34.56,0.39,0.35,0.44
353170,Vale do Para›ba Paulista,31.95,22.62,41.28,34.08,28.59,39.56,0.4,0.35,0.46
353180,Campinas,25.41,18.01,32.82,20.74,18.15,23.34,0.4,0.37,0.42
353190,Ribeir“o Preto,33.21,25.59,40.83,28.07,24.88,31.26,0.42,0.39,0.46
353200,Macro Metropolitana Paulista,21.98,15.7,28.26,19.86,17.4,22.32,0.4,0.37,0.43
353205,Araraquara,25.68,17.46,33.91,24.08,20.68,27.48,0.34,0.31,0.38
353210,Ara˛atuba,22.28,15.31,29.24,20.89,17.93,23.86,0.38,0.33,0.42
353215,Assis,51.78,41.43,62.13,49.68,42.96,56.41,0.37,0.31,0.44
353220,Presidente Prudente,32.17,23.53,40.81,30.71,26.16,35.26,0.39,0.32,0.46
353230,Vale do Para›ba Paulista,39.57,32.45,46.68,42.55,37.78,47.31,0.42,0.38,0.46
353240,Macro Metropolitana Paulista,21.58,16.39,26.77,23.42,20.57,26.27,0.38,0.35,0.41
353250,S“o Jos⁄ do Rio Preto,15.3,9.72,20.89,12.04,10.46,13.62,0.42,0.38,0.45
353260,S“o Jos⁄ do Rio Preto,12.41,8.15,16.67,10.72,9.45,11.99,0.46,0.42,0.49
353270,S“o Jos⁄ do Rio Preto,26.28,17.71,34.85,22.55,19.27,25.84,0.41,0.35,0.47
353280,S“o Jos⁄ do Rio Preto,20.49,14.21,26.77,18.08,15.65,20.5,0.37,0.34,0.41
353282,Itapetininga,51.85,43.09,60.6,52.95,46.17,59.73,0.39,0.34,0.43
353284,S“o Jos⁄ do Rio Preto,28.14,18.56,37.72,31.5,26.11,36.88,0.36,0.3,0.42
353286,S“o Jos⁄ do Rio Preto,8.52,0.78,16.25,8.69,6.41,10.97,0.33,0.26,0.4
353290,Araraquara,27.01,18.9,35.13,22.34,19.16,25.52,0.37,0.34,0.41
353300,S“o Jos⁄ do Rio Preto,25.49,18.01,32.96,21.04,18.49,23.58,0.43,0.39,0.46
353310,Presidente Prudente,36.99,25.14,48.84,32.09,26.98,37.2,0.36,0.31,0.42
353320,Ara˛atuba,41.55,29.41,53.7,38.14,31.51,44.77,0.34,0.27,0.4
353325,S“o Jos⁄ do Rio Preto,31.12,21.66,40.58,26.64,23.02,30.27,0.34,0.3,0.38
353330,S“o Jos⁄ do Rio Preto,31.63,21.51,41.75,26.79,22.83,30.75,0.34,0.29,0.38
353340,Campinas,15.42,9.64,21.19,11.42,9.96,12.87,0.39,0.36,0.41
353350,S“o Jos⁄ do Rio Preto,21.66,15.61,27.71,17.66,15.75,19.56,0.45,0.42,0.48
353360,Ribeir“o Preto,21.36,14.89,27.82,18.19,15.84,20.55,0.38,0.35,0.41
353370,Mar›lia,33.94,24.56,43.33,31.29,27.05,35.53,0.38,0.34,0.42
353380,Assis,30.84,22.69,38.99,29.78,25.57,33.99,0.38,0.34,0.43
353390,S“o Jos⁄ do Rio Preto,20.44,15.13,25.76,16.36,14.75,17.97,0.44,0.42,0.47
353400,S“o Jos⁄ do Rio Preto,23.93,15.13,32.73,21.15,17.71,24.6,0.36,0.31,0.41
353410,Mar›lia,27.37,18.95,35.8,23.33,20.17,26.49,0.38,0.35,0.42
353420,S“o Jos⁄ do Rio Preto,28.32,19.09,37.54,22.93,19.77,26.1,0.39,0.34,0.44
353430,Ribeir“o Preto,20.26,13.38,27.14,15.65,13.56,17.75,0.41,0.39,0.44
353440,Metropolitana de S“o Paulo,38.75,31.08,46.43,14.27,12.73,15.81,0.39,0.37,0.4
353450,Mar›lia,15.83,7.67,23.99,14.23,11.54,16.92,0.38,0.33,0.44
353460,Presidente Prudente,18.12,12.46,23.77,14.6,12.83,16.36,0.44,0.4,0.47
353470,Assis,20.42,14.92,25.93,16.34,14.56,18.12,0.44,0.42,0.46
353475,S“o Jos⁄ do Rio Preto,24.61,17.42,31.8,21.63,18.84,24.43,0.41,0.38,0.45
353480,Presidente Prudente,49.72,38.88,60.56,44.01,38.18,49.83,0.38,0.33,0.43
353490,Presidente Prudente,28.9,21.41,36.4,25.42,22.04,28.8,0.42,0.39,0.46
353500,S“o Jos⁄ do Rio Preto,20.4,14.56,26.23,17.19,15.27,19.11,0.39,0.36,0.42
353510,S“o Jos⁄ do Rio Preto,37.5,28.9,46.1,30.69,27.28,34.11,0.37,0.34,0.4
353520,S“o Jos⁄ do Rio Preto,22.04,16.59,27.49,20.04,17.72,22.35,0.4,0.37,0.44
353530,Assis,21.91,15.64,28.18,19.19,16.86,21.52,0.42,0.39,0.45
